symbol,log2FC_mut_vs_ctrl,t,p,fdr_bh
TYK2,0.3353219469438212,3.4446380274194768,0.0039464992509004385,0.008388363525665634
SCN8A,0.227998518841205,3.4438054447246262,0.003953038527417467,0.008399350493264844
RBM22P2,1.9514093200361953,3.4430133921419968,0.003959269574738816,0.008406762207533405
ZFYVE16,0.15582605371014305,3.4423687324507664,0.003964348370244111,0.008414631409140028
LOC286059,1.1713552151471933,3.4404940499961114,0.003979154819226941,0.008440214201336036
GOLGB1,0.9192545682316443,3.4400737887192836,0.003982481703876651,0.00844142906112167
TTC28,0.4706927898193779,3.4388183364318614,0.003992436800597873,0.008459605111532997
C1QL3,0.8046147192026945,3.4374227283760295,0.0040035325994448746,0.008477255555992083
NAIP,0.7624517576405876,3.4354957785571263,0.004018903759126348,0.008506741304891392
PRECSIT,0.7003736670460957,3.435329465020022,0.004020233207221918,0.008506741304891392
FAM157B,0.6402012853396206,3.434580119407274,0.004026228675294679,0.008516487846637815
PDE1C,0.7793821370023846,3.4330742097723954,0.004038304533226227,0.00853616208144266
PLCD4,1.4530396007918667,3.4330729250467122,0.004038314850927196,0.00853616208144266
DMPK,0.4355432223756449,3.431132093358762,0.00405393204015552,0.008563267886338159
UBE2CP5,1.0535642235711233,3.4306114343111203,0.0040581319074227875,0.008569186563038818
PLSCR1,0.8244343696237779,3.430167647089026,0.0040617151412174314,0.008570848129315958
NPIPB4,0.7665310416492351,3.428896785936585,0.004071993932932273,0.00858690315212986
LINC02193,0.614086926140428,3.4287076386040507,0.004073525997780365,0.00858690315212986
LOC105377826,0.8467027336156715,3.419018754985924,0.004152783481168589,0.008750966909440857
ANKRD12,0.8826189078133868,3.41191664881251,0.004211862000860776,0.00886093004601013
NAIPP4,0.7658671695220598,3.411877002584047,0.004212194152377409,0.00886093004601013
MIR4292,0.5996587987043438,3.4114411315582824,0.0042158475628640045,0.008865573091031337
LOC202181,0.9653968733183025,3.4110208676343383,0.004219373167750998,0.008869944279257072
ZNF83,0.36420751072181984,3.4041154876441326,0.004277728067904985,0.008989534815309414
LOC100132570,1.5705914568902002,3.4006412101014383,0.004307393425918887,0.009045673758438772
ZBTB25,0.3249441647132801,3.3993699380244164,0.004318299766276797,0.009061889200391051
LRIG2,0.32032855019947615,3.3983988389754214,0.004326649556564987,0.009073678337921099
SETD2,0.37301967144292136,3.3893040182442933,0.004405639690514849,0.009214115081151832
LHFPL1,1.6218612714447085,3.3873342231322803,0.004422937335113357,0.009247137061475062
ZDHHC8,0.2990249973490381,3.3843904814879746,0.004448914638700296,0.009298277100318041
CCL3,1.1829347995663402,3.3830409303088405,0.00446087495358066,0.009320096613990948
LOC105375897,1.5520604788023824,3.38075973248494,0.004481165267892717,0.009349742373104954
LOC105378808,2.1320052757440546,3.3791799767099766,0.004495270736424456,0.009375981495162273
PKD1L1,0.4378760114190915,3.3757983797097086,0.004525614423327145,0.009436060005100477
ZNF852,1.0166696565791702,3.372440593757332,0.004555947568067541,0.009494641648267277
PAK6,1.715251495512572,3.3723456252876214,0.004556808438695323,0.009494641648267277
C1RL-AS1,0.7646174145195553,3.371275278247261,0.004566522204564736,0.009511648356772623
A1BG-AS1,0.40038860341630234,3.3704949283608414,0.004573617223146636,0.009523190753358996
MCM3AP-AS1,0.6239866932609673,3.368559572016231,0.004591261381329547,0.009556683282699532
NSRP1,0.23196433722442658,3.3679294856040483,0.004597020425372647,0.009565422677370783
IGFALS,1.3866261394952535,3.3675622431715793,0.004600380390973012,0.009569165862458285
AKAP9,0.9420895508778724,3.365985868493978,0.00461483089169964,0.009592713925438723
MIR181A2HG,1.2121742000577,3.3628715311511015,0.004643513583232509,0.009645794058019411
ALMS1-IT1,1.4512631098474866,3.3600071777829448,0.004670051589475888,0.009694350234841583
KCNN4,0.7953228243743851,3.3520207783732237,0.004744849968454129,0.00983962459628681
PNKY,0.9394195309515172,3.349277034678471,0.004770823036668597,0.00989014041757812
LOC107987245,1.5844997237298606,3.3473498384789577,0.004789151500417675,0.009921425717323538
ZNF887P,1.3890393835041994,3.346714839884933,0.004795206038633196,0.009927258702067373
PPP1R12C,0.2950002781365551,3.3463632901963045,0.00479856126410267,0.009930850961833007
GIGYF1,0.7489304822846536,3.3460635107175447,0.004801424246194374,0.009933422419565142
ARHGEF5,0.8272549024170063,3.3448609280238086,0.004812926465207034,0.00995385938991873
CTD-2297D10.2,1.6537096256425665,3.3444057634866637,0.004817287123572009,0.00995951772934112
RHEBL1,0.7460001081829648,3.342489817179404,0.004835686063483673,0.009989527469740543
LOC112267938,1.2246137494036735,3.3423853510731854,0.004836691277355617,0.009989527469740543
NPIPB13,0.7214499807727522,3.34001229647538,0.004859582169295364,0.010030422957491441
LINC01089,0.5459727022672004,3.3399934429502562,0.0048597644671695885,0.010030422957491441
TAF8,0.34217632590670133,3.3395623306652955,0.004863934831992973,0.010035651470924578
LOC105373063,0.8945879263916205,3.33707847190455,0.004888032308746935,0.010081977810436982
SLIT3,0.5037667524691366,3.3354708720132216,0.004903692305381763,0.01010068341128703
LOC107985541,0.6623503339181319,3.3342430362233033,0.0049156867451563835,0.010121988494393226
PMFBP1,0.9667708821342837,3.3321150842915546,0.0049365437860097935,0.010158111248150397
LOC105378248,1.2394039581108507,3.3316218198123737,0.004941391128763437,0.01016126387766517
CCDC88A,0.5828606746146242,3.330248043037211,0.004954916443408957,0.010185659892051276
MADCAM1,1.1722490357093174,3.3272968420792326,0.004984097448614964,0.010242211652701887
LOC105375492,0.8196769144850506,3.327076800981624,0.004986280055700901,0.010243262983058488
NIN,0.8335995993739465,3.3265087743837385,0.004991918783281335,0.010251411102684954
KAT2B,0.2729444837600917,3.323713738951459,0.005019757807500132,0.010300245280022394
KIAA0753,0.43485560819528574,3.3236154642945452,0.005020739461126739,0.010300245280022394
