rank_nsig3,rank_all,pert_iname_lower,best_score,median_score,n_sigs
7150,7749,brd-k75852825,-0.14408313,-0.02858093,5
7151,7750,brd-k24351638,-0.14407179,-0.017636873,5
7152,7751,sa-1457336,-0.1440618,0.02492451,15
7153,7752,brd-k03669312,-0.14405032,0.0834558,7
7154,7753,brd-k76574148,-0.14402014,0.036972657,4
7155,7755,anastrozole,-0.14399433,-0.0073325615,17
7156,7756,brd-k87125912,-0.14399403,0.030014476,12
7157,7758,brd-k18767302,-0.14396742,-0.04958241,4
7158,7759,brd-k44204702,-0.14396444,0.055059366,3
7159,7760,limonin,-0.1439527,-0.00047302907,19
7160,7762,brd-k35202752,-0.14392309,-0.017074222,5
7161,7764,brd-k32307229,-0.14391671,0.07868748,22
7162,7765,brd-k17288883,-0.14390807,0.044841077,6
7163,7766,jas07-002,-0.14389403,0.06728378,13
7164,7767,brd-k63828515,-0.1438649,0.026669541,13
7165,7768,brd-k79998087,-0.14383237,-0.019676916,3
7166,7769,brd-k12483497,-0.14382847,-0.09870237,4
7167,7770,brd-k21658057,-0.14382364,-0.05021848,7
7168,7771,brd-a88878656,-0.14381653,-0.015451219,13
7169,7772,brd-k99128867,-0.14380783,-0.09821497,4
7170,7773,brd-k27887926,-0.14380778,-0.02998948,5
7171,7774,brd-k64665684,-0.14378758,0.023121089,8
7172,7775,brd-k71073890,-0.14377335,0.03598386,3
7173,7776,brd-k02847640,-0.14375186,0.0033351546,4
7174,7777,biotin,-0.1437373,0.018600034,23
7175,7778,brd-k70415218,-0.14372909,-0.0076892762,15
7176,7779,brd-k37551767,-0.14372548,0.019377965,4
7177,7780,brd-k40521754,-0.14371638,-0.07118059,5
7178,7781,brd-k62659735,-0.1437163,0.06223958,13
7179,7782,brd-k90916892,-0.14368354,-0.13172792,3
7180,7783,brd-k05204496,-0.14368102,-0.06116932,4
7181,7785,brd-a81377415,-0.14365096,0.08525674,12
7182,7787,brd-k81904610,-0.14363644,-0.070996106,6
7183,7788,bg-1007,-0.14363511,-0.029763516,6
7184,7791,ym-90709,-0.1435974,0.0477663,23
7185,7792,brd-k64751731,-0.1435819,-0.07916864,5
7186,7793,alfaxalone,-0.14357905,-0.007569201,19
7187,7794,brd-k38024502,-0.14354515,0.04591652,12
7188,7795,brd-k30282337,-0.14354429,0.027331473,5
7189,7797,brd-k20099363,-0.14352466,-0.04817262,12
7190,7798,brd-k84567604,-0.1435096,-0.055911116,5
7191,7799,brd-k38542964,-0.14350875,-0.009631822,4
7192,7800,chlorambucil,-0.14350086,0.04594366,41
7193,7801,brd-k50846154,-0.14349797,0.015855728,7
7194,7802,brd-k29957577,-0.14348386,-0.07667073,4
7195,7804,brd-k83007718,-0.14348331,0.02877277,4
